freq,imag(leafValue( i("PORT0:p" ?result "sweepVG_ac1-sweep") "VG_VAL" 0.2 )),imag(leafValue( i("PORT0:p" ?result "sweepVG_ac1-sweep") "VG_VAL" 0.4 )),imag(leafValue( i("PORT0:p" ?result "sweepVG_ac1-sweep") "VG_VAL" 0.6 )),imag(leafValue( i("PORT0:p" ?result "sweepVG_ac1-sweep") "VG_VAL" 0.8 ))
123.1E3,-24.27E-15,-25.42E-15,-30.83E-15,-32.28E-15
124.1E3,-24.46E-15,-25.63E-15,-31.08E-15,-32.54E-15
125.1E3,-24.66E-15,-25.83E-15,-31.33E-15,-32.80E-15
126.1E3,-24.86E-15,-26.04E-15,-31.58E-15,-33.07E-15
127.1E3,-25.06E-15,-26.24E-15,-31.83E-15,-33.33E-15
128.1E3,-25.25E-15,-26.45E-15,-32.08E-15,-33.59E-15
129.1E3,-25.45E-15,-26.66E-15,-32.33E-15,-33.85E-15
130.1E3,-25.65E-15,-26.86E-15,-32.58E-15,-34.11E-15
131.1E3,-25.84E-15,-27.07E-15,-32.83E-15,-34.38E-15
132.1E3,-26.04E-15,-27.28E-15,-33.08E-15,-34.64E-15
133.1E3,-26.24E-15,-27.48E-15,-33.33E-15,-34.90E-15
134.1E3,-26.44E-15,-27.69E-15,-33.58E-15,-35.16E-15
135.1E3,-26.63E-15,-27.90E-15,-33.83E-15,-35.43E-15
136.1E3,-26.83E-15,-28.10E-15,-34.08E-15,-35.69E-15
137.1E3,-27.03E-15,-28.31E-15,-34.33E-15,-35.95E-15
138.1E3,-27.22E-15,-28.52E-15,-34.58E-15,-36.21E-15
139.1E3,-27.42E-15,-28.72E-15,-34.83E-15,-36.47E-15
140.1E3,-27.62E-15,-28.93E-15,-35.08E-15,-36.74E-15
141.1E3,-27.82E-15,-29.14E-15,-35.34E-15,-37.00E-15
142.1E3,-28.01E-15,-29.34E-15,-35.59E-15,-37.26E-15
143.1E3,-28.21E-15,-29.55E-15,-35.84E-15,-37.52E-15
144.1E3,-28.41E-15,-29.76E-15,-36.09E-15,-37.79E-15
