tplh X,tplh Y,tphl X,tphl Y
8.35,1.443970855049207e-12,8.35,7.535240356795006e-12
8.4,1.438816677869018e-12,8.4,7.574496621271587e-12
8.449999999999999,1.433613351502802e-12,8.449999999999999,7.613755438819109e-12
8.5,1.428419129629038e-12,8.5,7.653009916511947e-12
8.550000000000001,1.423206728873127e-12,8.550000000000001,7.692260216363276e-12
8.6,1.417980933065396e-12,8.6,7.731510028059313e-12
8.65,1.412722365625727e-12,8.65,7.770760188968568e-12
8.699999999999999,1.40746700136688e-12,8.699999999999999,7.810012738398933e-12
8.75,1.402197556356573e-12,8.75,7.849265891294015e-12
8.800000000000001,1.396914053530869e-12,8.800000000000001,7.888521883977782e-12
8.85,1.391617553540455e-12,8.85,7.927781079919766e-12
8.9,1.386299127519867e-12,8.9,7.967045418027551e-12
8.949999999999999,1.380952293628883e-12,8.949999999999999,8.006321856397755e-12
9,1.375577157303256e-12,9,8.045594354236616e-12
9.050000000000001,1.37017632924411e-12,9.050000000000001,8.084854793054223e-12
9.1,1.365795506161278e-12,9.1,8.124132891850277e-12
9.15,1.360241164080851e-12,9.15,8.163401875846179e-12
9.199999999999999,1.354663581322176e-12,9.199999999999999,8.202786833006078e-12
9.25,1.348902313903617e-12,9.25,8.242171251220877e-12
9.300000000000001,1.343180786789402e-12,9.300000000000001,8.281471776049691e-12
9.35,1.337498527560138e-12,9.35,8.320794071884452e-12
9.4,1.33224011318197e-12,9.4,8.360131751491653e-12
9.449999999999999,1.326828769857295e-12,9.449999999999999,8.399478540278627e-12
9.5,1.321429636439761e-12,9.5,8.438832761412202e-12
9.550000000000001,1.315967240765141e-12,9.550000000000001,8.478205027496617e-12
9.6,1.310593639693347e-12,9.6,8.517597438863252e-12
9.65,1.306297089261779e-12,9.65,8.557038017994107e-12
9.699999999999999,1.30031347042708e-12,9.699999999999999,8.596381854764715e-12
9.75,1.294211013743383e-12,9.75,8.635828774287604e-12
9.800000000000001,1.288122200020846e-12,9.800000000000001,8.675299092356024e-12
9.85,1.282015657303152e-12,9.85,8.714775087811033e-12
9.9,1.274587163585594e-12,9.9,8.754203874376123e-12
9.949999999999999,1.26903047601138e-12,9.949999999999999,8.793643769639826e-12
10,1.261892354101839e-12,10,8.833095557632433e-12
