trise X,trise Y,tfall X,tfall Y
2.41e-10,6.524552488603786e-12,2.41e-10,6.44394788756975e-12
2.42e-10,6.533598449888231e-12,2.42e-10,6.451720460904416e-12
2.43e-10,6.54304764645485e-12,2.43e-10,6.45988821495274e-12
2.44e-10,6.550102782786307e-12,2.44e-10,6.460270707551307e-12
2.45e-10,6.556736319612046e-12,2.45e-10,6.473757203460629e-12
2.46e-10,6.566202613525471e-12,2.46e-10,6.481583022315087e-12
2.47e-10,6.574621073195101e-12,2.47e-10,6.490166393202502e-12
2.48e-10,6.587733383266411e-12,2.48e-10,6.496186891494382e-12
2.49e-10,6.592472559009904e-12,2.49e-10,6.5057779993566e-12
2.5e-10,6.601092628912391e-12,2.5e-10,6.516412122576319e-12
