1 X,1 Y,2 X,2 Y
2.10474555121687e-11,0.01008895897088713,2.10474555121687e-11,0.946134746132127
2.156603380692341e-11,0.007729982355970289,2.156603380692341e-11,0.9607681407032382
2.21193660148073e-11,0.005776486820258695,2.21193660148073e-11,0.972123308432272
2.266197296585638e-11,0.004309648514719003,2.266197296585638e-11,0.9800493521951837
2.318986039858843e-11,0.003230605840249458,2.318986039858843e-11,0.9855603149750153
2.385928029344521e-11,0.002245760733575557,2.385928029344521e-11,0.9904363770964398
2.438394990941957e-11,0.001709045715401992,2.438394990941957e-11,0.9931034297589646
2.488416567419907e-11,0.00132764094005364,2.488416567419907e-11,0.994964761354169
2.538680563764895e-11,0.001038121358470128,2.538680563764895e-11,0.9963145667620384
2.592390728933557e-11,0.0008053778065929064,2.592390728933557e-11,0.9973250081183709
2.645299692503592e-11,0.0006395373744596001,2.645299692503592e-11,0.9980153836929143
2.697004674874297e-11,0.0005230499452372141,2.697004674874297e-11,0.998496525128154
2.751476409465415e-11,0.0004376920224776193,2.751476409465415e-11,0.9988647534462712
2.822244745786161e-11,0.0003629268769568356,2.822244745786161e-11,0.9992007244652075
2.873065005286977e-11,0.0003281435077089043,2.873065005286977e-11,0.9993708901372493
2.924997601789313e-11,0.0003012157354115632,2.924997601789313e-11,0.9995002372253565
2.974719315375466e-11,0.0002831693646051662,2.974719315375466e-11,0.9995929179395825
3.03127486506358e-11,0.0002672105716010079,3.03127486506358e-11,0.9996707835498883
3.081953656593183e-11,0.0002578481334208339,3.081953656593183e-11,0.9997231079835215
3.132166972374885e-11,0.0002500470510512554,3.132166972374885e-11,0.9997623346466731
3.190041959488802e-11,0.0002444629343931242,3.190041959488802e-11,0.9997964976547891
3.238893017357516e-11,0.0002400817318567854,3.238893017357516e-11,0.9998174655635734
3.289239227360192e-11,0.000237624373049775,3.289239227360192e-11,0.999834073217565
3.338115114067161e-11,0.0002348435997131272,3.338115114067161e-11,0.9998457126077372
3.387867110718159e-11,0.000233672875819689,3.387867110718159e-11,0.9998549037395793
3.441748856209371e-11,0.0002317309260641026,3.441748856209371e-11,0.9998618477176311
3.495040108838186e-11,0.0002312786440278331,3.495040108838186e-11,0.9998672032800302
3.547111191452365e-11,0.0002300051960824681,3.547111191452365e-11,0.9998706680301069
3.601120839961855e-11,0.0002300084169047976,3.601120839961855e-11,0.9998736489854428
3.671173073982958e-11,0.0002289578289736972,3.671173073982958e-11,0.999875930611811
3.72228044904786e-11,0.0002292597118590792,3.72228044904786e-11,0.999877386652166
3.773797932275067e-11,0.0002285220580773191,3.773797932275067e-11,0.9998781053078774
3.823608258843072e-11,0.000228944141111944,3.823608258843072e-11,0.9998789811773661
3.879475122599031e-11,0.0002282863991291505,3.879475122599031e-11,0.9998793270453664
3.930514409455746e-11,0.0002287696915304443,3.930514409455746e-11,0.9998799077785314
3.980947146858261e-11,0.0002281610390136015,3.980947146858261e-11,0.9998799739173957
4.038266042925403e-11,0.0002286552673411063,4.038266042925403e-11,0.9998804097379083
4.08691329759692e-11,0.0002280715634548211,4.08691329759692e-11,0.9998803459472341
4.137779323954856e-11,0.0002285941472307233,4.137779323954856e-11,0.9998806662816696
4.186152879437099e-11,0.0002280242396101096,4.186152879437099e-11,0.9998805405802845
4.236054539456552e-11,0.0002285944609463172,4.236054539456552e-11,0.9998808174970222
4.289274971747393e-11,0.0002281313112926343,4.289274971747393e-11,0.9998806769662164
4.343492657563706e-11,0.000228872484971998,4.343492657563706e-11,0.9998809491272619
4.396217842044216e-11,0.000228408097833036,4.396217842044216e-11,0.9998807678414232
4.449533399449311e-11,0.0002286432135629871,4.449533399449311e-11,0.9998809198498052
4.518146438373658e-11,0.0002273556882935478,4.518146438373658e-11,0.9998806181920583
4.569866775786256e-11,0.0002269037454577522,4.569866775786256e-11,0.9998807029901908
4.620640351000536e-11,0.0002252116027707934,4.620640351000536e-11,0.9998803935842374
4.670645770096053e-11,0.000225911845206788,4.670645770096053e-11,0.9998807686140092
4.725381375036836e-11,0.0002296495174564115,4.725381375036836e-11,0.9998814242161277
4.777256335366815e-11,0.0002413730102396522,4.777256335366815e-11,0.9998834320521209
4.828237173402553e-11,0.0002543443991117241,4.828237173402553e-11,0.9998848118659288
4.88418233371252e-11,0.0002560096431720038,4.88418233371252e-11,0.9998836409808797
4.933687588239257e-11,0.0002405514824885214,4.933687588239257e-11,0.999879764937092
4.985428467283182e-11,0.0001939345703795179,4.985428467283182e-11,0.9998717553214984
5.033314636642141e-11,0.0001110671503176312,5.033314636642141e-11,0.9998595313581622
5.083522359804318e-11,8.612233006252647e-06,5.083522359804318e-11,0.9998484931615018
5.135945365719606e-11,-1.289770452334768e-05,5.135945365719606e-11,0.999856568149415
5.191481185499524e-11,0.0003238628647028595,5.191481185499524e-11,0.9999266744306051
5.245132857881328e-11,0.001121934602951819,5.245132857881328e-11,1.000059766796147
5.297791426563045e-11,0.002091567910466442,5.297791426563045e-11,1.000181629400255
5.364870866077403e-11,0.00286003037443044,5.364870866077403e-11,1.000178374589098
5.417316755132984e-11,0.001810011974854666,5.417316755132984e-11,0.9998608345869369
5.467392188630912e-11,-0.00241925371296033,5.467392188630912e-11,0.9990927972278
5.517657360222357e-11,-0.01019226138879119,5.517657360222357e-11,0.9979538504439399
5.571388275521534e-11,-0.01852896094886815,5.571388275521534e-11,0.9971835478263456
