freq,imag(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.2 ))/(2*3.14*xval(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.2 ))*1m),imag(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.4 ))/(2*3.14*xval(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.4 ))*1m),imag(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.6 ))/(2*3.14*xval(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.6 ))*1m),imag(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.8 ))/(2*3.14*xval(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.8 ))*1m)
91.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
92.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
93.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
94.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
95.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
96.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
97.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
98.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
99.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
100.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
101.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
102.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
103.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
104.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
105.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
106.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
107.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
108.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
109.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
110.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
111.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
112.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
113.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
114.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
